iter	Passed	Remaining
0	13	6610
1	24	6205
2	35	5890
3	47	5880
4	62	6139
5	74	6140
6	84	5936
7	96	5947
8	108	5898
9	121	5933
10	134	5981
11	148	6058
12	161	6032
13	173	6037
14	187	6072
15	199	6025
16	212	6040
17	226	6052
18	237	6021
19	249	5978
20	260	5949
21	272	5925
22	284	5890
23	295	5867
24	306	5830
25	319	5817
26	330	5792
27	341	5762
28	353	5735
29	363	5702
30	376	5700
31	389	5700
32	403	5715
33	413	5667
34	425	5658
35	439	5662
36	451	5654
37	463	5637
38	475	5625
39	488	5618
40	500	5599
41	512	5588
42	526	5592
43	541	5615
44	557	5632
45	571	5645
46	585	5638
47	597	5622
48	610	5620
49	624	5618
50	639	5633
51	654	5641
52	670	5657
53	687	5678
54	702	5686
55	716	5683
56	728	5661
57	742	5661
58	758	5666
59	771	5656
60	784	5642
61	799	5645
62	811	5632
63	825	5623
64	839	5619
65	854	5616
66	867	5609
67	882	5603
68	896	5598
69	910	5595
70	924	5586
71	938	5580
72	951	5567
73	964	5552
74	978	5544
75	989	5518
76	997	5479
77	1011	5473
78	1024	5461
79	1038	5451
80	1051	5439
81	1070	5457
82	1086	5456
83	1103	5463
84	1116	5451
85	1132	5452
86	1145	5437
87	1157	5420
88	1171	5411
89	1185	5399
90	1197	5382
91	1209	5363
92	1219	5338
93	1233	5328
94	1246	5313
95	1258	5295
96	1270	5277
97	1282	5262
98	1295	5245
99	1307	5230
100	1319	5214
101	1332	5199
102	1344	5183
103	1357	5168
104	1368	5149
105	1380	5130
106	1391	5111
107	1403	5095
108	1415	5078
109	1428	5063
110	1439	5045
111	1452	5032
112	1465	5017
113	1478	5005
114	1490	4991
115	1503	4977
116	1512	4952
117	1526	4941
118	1539	4927
119	1551	4912
120	1564	4900
121	1576	4883
122	1587	4865
123	1598	4846
124	1610	4831
125	1622	4815
126	1638	4813
127	1652	4801
128	1665	4788
129	1678	4777
130	1690	4762
131	1702	4746
132	1714	4730
